datetime,time,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,Holiday_ID,holiday,school,nat_demand
03-01-2015 01:00,,25.86525879,0.018576382,0.016174316,21.85054582,0,0,0,970.345
03-01-2015 02:00,,25.89925537,0.018653292,0.016418457,22.16694428,0,0,0,912.1755
03-01-2015 03:00,,25.93728027,0.01876786,0.015480042,22.45491088,0,0,0,900.2688
03-01-2015 04:00,,25.95754395,0.018890057,0.016273499,22.11048087,0,0,0,889.9538
03-01-2015 05:00,,25.97384033,0.018981151,0.017280579,21.18608852,0,0,0,893.6865
03-01-2015 06:00,,26.03414307,0.019079996,0.014541626,20.06203782,0,0,0,879.2323
03-01-2015 07:00,,26.6914917,0.019331587,0.006645203,21.62349567,0,0,0,932.4876
03-01-2015 08:00,,27.67406616,0.019369703,0.00686264,23.775317,0,0,0,1048.972
03-01-2015 09:00,,28.76040039,0.019171301,0.010231018,24.6361515,0,0,0,1167.9074
03-01-2015 10:00,,29.76665649,0.018759238,0.009017944,25.86267136,0,0,0,1257.5069
03-01-2015 11:00,,30.52376709,0.018408278,0.004322052,26.82808151,0,0,0,1254.583
03-01-2015 12:00,,30.98180542,0.018133579,0.00279808,26.65431045,0,0,0,1216.9004
03-01-2015 13:00,,31.21120605,0.017904576,0.0026474,25.75416055,0,0,0,1202.1556
03-01-2015 14:00,,31.15651855,0.017744431,0.001464844,24.90217224,0,0,0,1197.2616
03-01-2015 15:00,,30.81676636,0.01765308,0.000401378,24.21445514,0,0,0,1169.0034
03-01-2015 16:00,,30.05721436,0.017706675,2.70E-05,23.76680031,0,0,0,1136.7054
03-01-2015 17:00,,28.80245361,0.018042427,8.37E-13,22.75511413,0,0,0,1101.9447
03-01-2015 18:00,,27.36635742,0.018568844,8.37E-13,20.67880942,0,0,0,1107.0406
03-01-2015 19:00,,26.61394653,0.018851262,0.000406981,19.92638635,0,0,0,1142.1548
03-01-2015 20:00,,26.26726685,0.018889746,0.00142622,19.42842398,0,0,0,1097.2334
03-01-2015 21:00,,26.08352051,0.018859386,0.002457619,19.5695168,0,0,0,1074.6544
03-01-2015 22:00,,25.95629272,0.018775864,0.002873421,19.65992258,0,0,0,1041.3244
03-01-2015 23:00,,25.8612915,0.01866179,0.003154755,19.70297711,0,0,0,999.634
